Código,Producto,Precio,Porcentaje IVA,IVA,I.I.,Precio Final,Categoría
I04-003-1294,Disco Ssd 500 Gb Kingston Snvs Nv2 M.2 2280 Nvme,41.01,10.5,4.31,0.0,45.32,"Componentes Y Partes, Discos Rigidos, Discos Solidos"
I04-003-1398,Disco Ssd 1 Tb Lexar Ns100 Sata Iii,55.79,10.5,5.86,0.0,61.65,"Componentes Y Partes, Discos Rigidos, Discos Solidos"
I04-004-1001,Disco Ssd 1 Tb Adata Legend 850 M.2 Nvme Gen4,61.39,10.5,6.45,0.0,67.84,"Componentes Y Partes, Discos Rigidos, Discos Solidos"
I04-004-1009,Disco Ssd 1 Tb Adata Legend 710 Nvme Gen3,58.85,10.5,6.18,0.0,65.03,"Componentes Y Partes, Discos Rigidos, Discos Solidos"
I04-004-1010,Disco Ssd 512 Gb Adata Legend 710 Nvme Gen3,33.43,10.5,3.51,0.0,36.94,"Componentes Y Partes, Discos Rigidos, Discos Solidos"
I04-004-1012,Disco Ssd 960 Gb Adata Asu630ss-960gq-r Sata,52.96,10.5,5.56,0.0,58.52,"Componentes Y Partes, Discos Rigidos, Discos Solidos"
I04-004-1018,Disco Ssd 512 Gb Adata Xpg Gammix S55 Cs Nvme Gen4 M2.2230,68.17,10.5,7.16,0.0,75.33,"Componentes Y Partes, Discos Rigidos, Discos Solidos"
I04-004-1023,Disco Ssd 480 Gb Adata Su630ss-480gq-r Sata,28.65,10.5,3.01,0.0,31.66,"Componentes Y Partes, Discos Rigidos, Discos Solidos"
I07-002-1021,Fuente Atx Aluna Al-500 24p Sata,10.14,21.0,2.13,0.0,12.27,"Componentes Y Partes, Fuentes De Alimentacion, Fuentes De Poder Genericas"
I07-002-1025,Fuente Atx Aluna Al-520 24p Sata Box,12.69,21.0,2.66,0.0,15.35,"Componentes Y Partes, Fuentes De Alimentacion, Fuentes De Poder Genericas"
I07-002-1026,Fuente Atx Aluna Al-p590 24p Sata Box,19.58,21.0,4.11,0.0,23.69,"Componentes Y Partes, Fuentes De Alimentacion, Fuentes De Poder Genericas"
I07-100-1007,Gabinete Aluna Al-sm91 Slim Al-p570,30.94,10.5,3.25,0.0,34.19,"Componentes Y Partes, Gabinetes Mini Y Slims, Gabinetes Para Pc"
I07-100-1009,Gabiente Kit Gamer Aluna Al-kg15 520w,53.19,10.5,5.58,0.0,58.77,"Componentes Y Partes, Gabinetes En Kit, Gabinetes Para Pc"
I07-100-1013,Gabiente Kit Gamer Aluna Al-k37 Con Fuente Al-p590w,46.59,10.5,4.89,0.0,51.48,"Componentes Y Partes, Gabinetes En Kit, Gabinetes Para Pc"
I07-102-0012,Gabinete Cougar Mx410 Mesh-g Rgb,67.98,10.5,7.14,0.0,75.12,"Componentes Y Partes, Gabinetes Gamers, Gabinetes Para Pc"
I07-102-0025,Gabinete Cougar Dust 2 Desert Sand,102.35,10.5,10.75,0.0,113.1,"Componentes Y Partes, Gabinetes Gamers, Gabinetes Para Pc"
I07-102-0029,Gabinete Cougar Duoface Rgb,64.76,10.5,6.8,0.0,71.56,"Componentes Y Partes, Gabinetes Gamers, Gabinetes Para Pc"
I07-102-0038,Gabinete Cougar Mg140 Air Rgb White,74.8,10.5,7.85,0.0,82.65,"Componentes Y Partes, Gabinetes Gamers, Gabinetes Para Pc"
I07-102-0039,Gabinete Cougar Duoface Pro Rgb,93.73,10.5,9.84,0.0,103.57,"Componentes Y Partes, Gabinetes Gamers, Gabinetes Para Pc"
I07-102-0040,Gabinete Cougar Mx360 Rgb,44.5,10.5,4.67,0.0,49.17,"Componentes Y Partes, Gabinetes Gamers, Gabinetes Para Pc"
I07-102-0041,Gabinete Cougar Duoface Pro Rgb White,99.42,10.5,10.44,0.0,109.86,"Componentes Y Partes, Gabinetes Gamers, Gabinetes Para Pc"
I07-102-0045,Gabinete Cougar Fv270 Rgb,189.36,10.5,19.88,0.0,209.24,"Componentes Y Partes, Gabinetes Gamers, Gabinetes Para Pc"
I07-102-0046,Gabinete Cougar Fv270 Rgb White,196.94,10.5,20.68,0.0,217.62,"Componentes Y Partes, Gabinetes Gamers, Gabinetes Para Pc"
I07-102-0049,Gabinete Cougar Uniface Black,57.75,10.5,6.06,0.0,63.81,"Componentes Y Partes, Gabinetes Gamers, Gabinetes Para Pc"
I07-102-0057,Gabinete Cougar Airface,46.39,10.5,4.87,0.0,51.26,"Componentes Y Partes, Gabinetes Gamers, Gabinetes Para Pc"
I07-102-0059,Gabinete Cougar Duoface Rgb White,72.9,10.5,7.65,0.0,80.55,"Componentes Y Partes, Gabinetes Gamers, Gabinetes Para Pc"
I07-102-0060,Gabinete Cougar Uniface Rgb Black,76.7,10.5,8.05,0.0,84.75,"Componentes Y Partes, Gabinetes Gamers, Gabinetes Para Pc"
I07-102-0061,Gabinete Cougar Purity Black,34.47,10.5,3.62,0.0,38.09,"Componentes Y Partes, Gabinetes Gamers, Gabinetes Para Pc"
I08-104-0008,Placa De Video 12 Gb Msi Geforce Rtx 5070 Ventus 2x Oc Black,863.09,10.5,90.62,0.0,953.71,"Componentes Y Partes, Placas De Video Nvidia, Placas De Video"
I08-104-1316,Placa De Video 16 Gb Shapphire Pulse Radeon Rx7600 Xt Gaming Oc 16g Gddr6 Dual Hdmi/dual Dp,427.7,10.5,44.91,0.0,472.61,"Componentes Y Partes, Placas De Video Ati Radeon, Placas De Video"
I08-104-1425,Placa De Video 8 Gb Msi Geforce Rtx 4060ti Ventus 2x Black,489.57,10.5,51.4,0.0,540.97,"Componentes Y Partes, Placas De Video Nvidia, Placas De Video"
I41-011-0001,Cooler Para Cpu Cougar Forza 135,104.74,21.0,22.0,0.0,126.74,"Componentes Y Partes, Para Microprocesadores, Ventilacion"
I41-011-0002,Cooler Para Cpu Cougar Forza 50,51.23,21.0,10.76,0.0,61.99,"Componentes Y Partes, Para Microprocesadores, Ventilacion"
I41-011-0003,Cooler Para Cpu Cougar Forza 50 Argb,56.93,21.0,11.96,0.0,68.89,"Componentes Y Partes, Para Microprocesadores, Ventilacion"
I41-011-0004,Cooler Para Cpu Cougar Forza 50 Essential,34.15,21.0,7.17,0.0,41.32,"Componentes Y Partes, Para Microprocesadores, Ventilacion"
I41-011-0005,Cooler Para Cpu Cougar Forza 85,83.11,21.0,17.45,0.0,100.56,"Componentes Y Partes, Para Microprocesadores, Ventilacion"
I41-011-0006,Cooler Para Gabinete Cougar Apolar 120 Argb Single Pack,27.33,21.0,5.74,0.0,33.07,"Componentes Y Partes, Gabinetes Para Pc, Coolers Gamers"
I41-011-0007,Cooler Para Gabinete Cougar Apolar 120 Argb White X 3 Pack,79.7,21.0,16.74,0.0,96.44,"Componentes Y Partes, Gabinetes Para Pc, Coolers Gamers"
I41-011-0008,Cooler Liquido Cougar Poseidon Elite Argb 240 Black,73.23,10.5,7.69,0.0,80.92,"Componentes Y Partes, Gabinetes Para Pc, Coolers Gamers"
I41-011-0010,Cooler Para Gabinete Cougar Sc140-fb Argb,21.41,21.0,4.5,0.0,25.91,"Componentes Y Partes, Gabinetes Para Pc, Coolers Gamers"
I41-011-0011,Cooler Para Gabinete Cougar Sc140-fw Argb,21.41,21.0,4.5,0.0,25.91,"Componentes Y Partes, Gabinetes Para Pc, Coolers Gamers"
I41-011-0012,Cooler Para Gabinete Cougar Sc140-rb Argb,21.41,21.0,4.5,0.0,25.91,"Componentes Y Partes, Gabinetes Para Pc, Coolers Gamers"
I41-011-0013,Cooler Para Gabinete Cougar Sc140-rw Argb,21.41,21.0,4.5,0.0,25.91,"Componentes Y Partes, Gabinetes Para Pc, Coolers Gamers"
I41-011-0014,Cooler Liquido Cougar Poseidon Elite Argb 360 Black,88.64,21.0,18.61,0.0,107.25,"Componentes Y Partes, Gabinetes Para Pc, Coolers Gamers"
